current_state,year,population,from_different_state_Total
Washington,2019-01-01,7527366,231956
West Virginia,2019-01-01,1773280,39548
Wisconsin,2019-01-01,5760481,107973
Wyoming,2019-01-01,572884,30247
Puerto Rico,2019-01-01,3175835,31144
Alabama,2010-01-01,4729509,108723
Alaska,2010-01-01,702974,36326
Arizona,2010-01-01,6332786,222725
Arkansas,2010-01-01,2888304,79127
California,2010-01-01,36907897,444749
Colorado,2010-01-01,4988190,186366
Connecticut,2010-01-01,3541146,77333
Delaware,2010-01-01,889812,30759
District of Columbia ,2010-01-01,596747,51244
Florida,2010-01-01,18647600,482889
Georgia,2010-01-01,9587237,249459
Hawaii,2010-01-01,1346274,53581
Idaho,2010-01-01,1550967,55638
Illinois,2010-01-01,12680126,203959
Indiana,2010-01-01,6414862,127353
Iowa,2010-01-01,3013053,72557
Kansas,2010-01-01,2820894,95059
Kentucky,2010-01-01,4296639,118443
Louisiana,2010-01-01,4483529,97889
Maine,2010-01-01,1313902,27758
Maryland,2010-01-01,5716785,164484
Massachusetts,2010-01-01,6489250,140162
Michigan,2010-01-01,9762127,116149
Minnesota,2010-01-01,5244256,89872
Mississippi,2010-01-01,2931228,72321
Missouri,2010-01-01,5920858,145226
Montana,2010-01-01,978507,35630
Nebraska,2010-01-01,1802697,51290
Nevada,2010-01-01,2667364,102677
New Hampshire,2010-01-01,1303865,39367
New Jersey,2010-01-01,8709933,127369
New Mexico,2010-01-01,2039549,73605
New York,2010-01-01,19171916,269427
North Carolina,2010-01-01,9443000,263256
North Dakota,2010-01-01,665654,30100
Ohio,2010-01-01,11405101,172633
Oklahoma,2010-01-01,3716264,106511
Oregon,2010-01-01,3794008,116700
Pennsylvania,2010-01-01,12577555,235580
Rhode Island,2010-01-01,1042240,32059
South Carolina,2010-01-01,4577399,152441
South Dakota,2010-01-01,805616,25777
Tennessee,2010-01-01,6282706,159778
Texas,2010-01-01,24899075,486558
Utah,2010-01-01,2724064,77780
Vermont,2010-01-01,619363,22529
Virginia,2010-01-01,7930773,259507
Washington,2010-01-01,6661321,191784
West Virginia,2010-01-01,1833535,39609
Wisconsin,2010-01-01,5623196,93065
Wyoming,2010-01-01,556954,28046
Puerto Rico,2010-01-01,3676493,31732
Alabama,2011-01-01,4745278,117726
Alaska,2011-01-01,711962,35084
Arizona,2011-01-01,6402301,222877
Arkansas,2011-01-01,2906632,69845
California,2011-01-01,37222678,468428
Colorado,2011-01-01,5048443,202124
Connecticut,2011-01-01,3548667,71502
Delaware,2011-01-01,897187,33912
District of Columbia ,2011-01-01,611608,48066
Florida,2011-01-01,18863948,498597
Georgia,2011-01-01,9699859,271077
Hawaii,2011-01-01,1357806,57542
Idaho,2011-01-01,1559637,60336
Illinois,2011-01-01,12718402,216204
Indiana,2011-01-01,6437155,127874
Iowa,2011-01-01,3027718,70405
Kansas,2011-01-01,2833584,83640
Kentucky,2011-01-01,4316297,110031
Louisiana,2011-01-01,4518629,99138
Maine,2011-01-01,1315833,33818
Maryland,2011-01-01,5759087,153979
Massachusetts,2011-01-01,6515057,139830
Michigan,2011-01-01,9766574,139158
Minnesota,2011-01-01,5277329,101029
Mississippi,2011-01-01,2943021,68511
Missouri,2011-01-01,5937896,149439
Montana,2011-01-01,987076,33553
Nebraska,2011-01-01,1817126,52070
Nevada,2011-01-01,2688336,110345
New Hampshire,2011-01-01,1305678,37000
New Jersey,2011-01-01,8719952,140194
New Mexico,2011-01-01,2055293,62130
New York,2011-01-01,19248685,282209
North Carolina,2011-01-01,9539412,265291
North Dakota,2011-01-01,675161,32510
Ohio,2011-01-01,11418944,191778
Oklahoma,2011-01-01,3742698,108878
Oregon,2011-01-01,3828714,127906
Pennsylvania,2011-01-01,12610486,234291
Rhode Island,2011-01-01,1040022,26769
South Carolina,2011-01-01,4624180,157644
South Dakota,2011-01-01,814175,27506
Tennessee,2011-01-01,6333466,170969
Texas,2011-01-01,25327104,514726
Utah,2011-01-01,2769627,85217
Vermont,2011-01-01,621354,20463
Virginia,2011-01-01,7996552,257130
Washington,2011-01-01,6748474,208507
West Virginia,2011-01-01,1836614,50068
Wisconsin,2011-01-01,5647213,109439
Wyoming,2011-01-01,561389,30651
Puerto Rico,2011-01-01,3669195,22649
Alabama,2012-01-01,4764428,104600
Alaska,2012-01-01,721186,33415
Arizona,2012-01-01,6468907,232457
Arkansas,2012-01-01,2912680,76948
California,2012-01-01,37572738,493641
Colorado,2012-01-01,5123944,205060
Connecticut,2012-01-01,3555319,80311
Delaware,2012-01-01,906576,34757
District of Columbia ,2012-01-01,624847,53830
Florida,2012-01-01,19114620,537148
Georgia,2012-01-01,9796547,277466
Hawaii,2012-01-01,1374852,55145
Idaho,2012-01-01,1573036,59283
Illinois,2012-01-01,12725119,208755
Indiana,2012-01-01,6457067,134137
Iowa,2012-01-01,3035469,75760
Kansas,2012-01-01,2848708,88284
Kentucky,2012-01-01,4328626,112787
Louisiana,2012-01-01,4545914,91215
Maine,2012-01-01,1315586,27523
Maryland,2012-01-01,5816472,154983
Massachusetts,2012-01-01,6580641,142577
Michigan,2012-01-01,9778980,133981
Minnesota,2012-01-01,5315228,101042
Mississippi,2012-01-01,2947696,73500
Missouri,2012-01-01,5951913,162930
Montana,2012-01-01,995544,37690
Nebraska,2012-01-01,1829420,43266
Nevada,2012-01-01,2725280,124285
New Hampshire,2012-01-01,1309203,50484
New Jersey,2012-01-01,8772744,130223
New Mexico,2012-01-01,2060595,54693
New York,2012-01-01,19352153,270053
North Carolina,2012-01-01,9640490,273149
North Dakota,2012-01-01,689838,38213
Ohio,2012-01-01,11414635,196391
Oklahoma,2012-01-01,3762311,108972
Oregon,2012-01-01,3857465,118925
Pennsylvania,2012-01-01,12630082,215500
Rhode Island,2012-01-01,1040527,33446
South Carolina,2012-01-01,4668886,156705
South Dakota,2012-01-01,821669,26051
Tennessee,2012-01-01,6378278,177098
Texas,2012-01-01,25711791,507752
Utah,2012-01-01,2805440,87870
Vermont,2012-01-01,620224,24431
Virginia,2012-01-01,8085389,250653
Washington,2012-01-01,6815763,215494
West Virginia,2012-01-01,1837518,47125
Wisconsin,2012-01-01,5660677,99192
Wyoming,2012-01-01,569734,31149
Puerto Rico,2012-01-01,3628402,20044
Alabama,2013-01-01,4781296,104102
Alaska,2013-01-01,725193,34360
Arizona,2013-01-01,6543362,236146
Arkansas,2013-01-01,2923642,70621
California,2013-01-01,37873189,485477
Colorado,2013-01-01,5206012,206543
Connecticut,2013-01-01,3562959,88351
Delaware,2013-01-01,914025,36790
District of Columbia ,2013-01-01,636535,46571
Florida,2013-01-01,19345059,529406
Georgia,2013-01-01,9870319,278972
Hawaii,2013-01-01,1387361,58083
Idaho,2013-01-01,1592596,61592
Illinois,2013-01-01,12740816,223605
Indiana,2013-01-01,6492306,133508
Iowa,2013-01-01,3053635,75650
Kansas,2013-01-01,2854869,89735
Kentucky,2013-01-01,4345186,103207
Louisiana,2013-01-01,4568320,91889
Maine,2013-01-01,1315753,36780
Maryland,2013-01-01,5857213,161525
Massachusetts,2013-01-01,6619999,135150
Michigan,2013-01-01,9784094,144091
Minnesota,2013-01-01,5353441,104825
Mississippi,2013-01-01,2957797,68588
Missouri,2013-01-01,5973448,159936
Montana,2013-01-01,1003013,40035
Nebraska,2013-01-01,1842900,45854
Nevada,2013-01-01,2757365,126583
New Hampshire,2013-01-01,1310978,44867
New Jersey,2013-01-01,8803679,136907
New Mexico,2013-01-01,2059689,56808
New York,2013-01-01,19431954,272066
North Carolina,2013-01-01,9737365,275922
North Dakota,2013-01-01,714804,38908
Ohio,2013-01-01,11439593,185749
Oklahoma,2013-01-01,3801521,109255
Oregon,2013-01-01,3888216,143841
Pennsylvania,2013-01-01,12639493,224280
Rhode Island,2013-01-01,1040986,34108
South Carolina,2013-01-01,4720602,166047
South Dakota,2013-01-01,832703,30042
Tennessee,2013-01-01,6419226,186525
Texas,2013-01-01,26087349,548034
Utah,2013-01-01,2854667,97869
Vermont,2013-01-01,621256,23180
Virginia,2013-01-01,8163664,266348
Washington,2013-01-01,6888552,208215
West Virginia,2013-01-01,1837863,51957
Wisconsin,2013-01-01,5681024,100846
Wyoming,2013-01-01,575933,27584
Puerto Rico,2013-01-01,3579220,24652
Alabama,2014-01-01,4791931,107919
Alaska,2014-01-01,725206,37842
Arizona,2014-01-01,6651964,249730
Arkansas,2014-01-01,2931123,74741
California,2014-01-01,38340324,513968
Colorado,2014-01-01,5293943,218728
Connecticut,2014-01-01,3558915,82746
Delaware,2014-01-01,924770,32166
District of Columbia ,2014-01-01,648586,56234
Florida,2014-01-01,19683763,546501
Georgia,2014-01-01,9970167,274095
Hawaii,2014-01-01,1401004,58144
Idaho,2014-01-01,1613068,64633
Illinois,2014-01-01,12730206,209536
Indiana,2014-01-01,6516181,139846
Iowa,2014-01-01,3067872,79194
Kansas,2014-01-01,2866584,96467
Kentucky,2014-01-01,4357819,104975
Louisiana,2014-01-01,4593505,97814
Maine,2014-01-01,1317638,39065
Maryland,2014-01-01,5911235,156787
Massachusetts,2014-01-01,6674907,146622
Michigan,2014-01-01,9795659,149991
Minnesota,2014-01-01,5385219,106783
Mississippi,2014-01-01,2957658,73927
Missouri,2014-01-01,5992195,153320
Montana,2014-01-01,1012169,37561
Nebraska,2014-01-01,1855356,52200
Nevada,2014-01-01,2806170,130390
New Hampshire,2014-01-01,1314735,41393
New Jersey,2014-01-01,8840346,128911
New Mexico,2014-01-01,2060189,68917
New York,2014-01-01,19528220,258571
North Carolina,2014-01-01,9832152,286533
North Dakota,2014-01-01,729874,39059
Ohio,2014-01-01,11464891,196742
Oklahoma,2014-01-01,3827288,111346
Oregon,2014-01-01,3927857,137008
Pennsylvania,2014-01-01,12645888,232889
Rhode Island,2014-01-01,1045791,32621
South Carolina,2014-01-01,4780659,171969
South Dakota,2014-01-01,842076,28198
Tennessee,2014-01-01,6471445,182130
Texas,2014-01-01,26588600,538572
Utah,2014-01-01,2894001,90234
Vermont,2014-01-01,620898,22635
Virginia,2014-01-01,8224054,262477
Washington,2014-01-01,6979369,220259
West Virginia,2014-01-01,1831414,47957
Wisconsin,2014-01-01,5692727,117831
Wyoming,2014-01-01,577782,25992
Puerto Rico,2014-01-01,3511186,19771
Alabama,2015-01-01,4801599,114876
Alaska,2015-01-01,727862,34696
Arizona,2015-01-01,6747595,253281
Arkansas,2015-01-01,2938341,81594
California,2015-01-01,38675135,514477
Colorado,2015-01-01,5393067,227445
Connecticut,2015-01-01,3554844,76997
Delaware,2015-01-01,935813,44495
District of Columbia ,2015-01-01,663006,59905
Florida,2015-01-01,20068392,584938
Georgia,2015-01-01,10088525,283325
Hawaii,2015-01-01,1414355,53742
Idaho,2015-01-01,1635366,73809
Illinois,2015-01-01,12706393,209828
Indiana,2015-01-01,6540691,147529
Iowa,2015-01-01,3081446,85937
Kansas,2015-01-01,2875640,91340
Kentucky,2015-01-01,4373403,106918
Louisiana,2015-01-01,4612024,93321
Maine,2015-01-01,1317444,30123
Maryland,2015-01-01,5934005,168894
Massachusetts,2015-01-01,6725678,132642
Michigan,2015-01-01,9811416,142639
Minnesota,2015-01-01,5419822,108476
Mississippi,2015-01-01,2959289,69351
Missouri,2015-01-01,6015580,159152
Montana,2015-01-01,1019646,42760
Nebraska,2015-01-01,1869217,52950
Nevada,2015-01-01,2859489,135999
New Hampshire,2015-01-01,1318121,53446
New Jersey,2015-01-01,8854363,144074
New Mexico,2015-01-01,2060441,55753
New York,2015-01-01,19570171,257611
North Carolina,2015-01-01,9927547,310612
North Dakota,2015-01-01,745291,42618
Ohio,2015-01-01,11482142,203475
Oklahoma,2015-01-01,3864908,110878
Oregon,2015-01-01,3985712,141162
Pennsylvania,2015-01-01,12662192,232683
Rhode Island,2015-01-01,1045062,38344
South Carolina,2015-01-01,4839984,170366
South Dakota,2015-01-01,848285,26962
Tennessee,2015-01-01,6522259,195923
Texas,2015-01-01,27092848,553032
Utah,2015-01-01,2947423,97361
Vermont,2015-01-01,619952,21232
Virginia,2015-01-01,8283737,277715
Washington,2015-01-01,7089143,230907
West Virginia,2015-01-01,1823753,42078
Wisconsin,2015-01-01,5708201,106511
Wyoming,2015-01-01,579102,35947
Puerto Rico,2015-01-01,3443445,24762
Alabama,2016-01-01,4810126,122220
Alaska,2016-01-01,731760,31300
Arizona,2016-01-01,6851836,273257
Arkansas,2016-01-01,2949650,71083
California,2016-01-01,38783436,514758
Colorado,2016-01-01,5476928,223260
Connecticut,2016-01-01,3541758,75586
Delaware,2016-01-01,942073,33400
District of Columbia ,2016-01-01,672022,58154
Florida,2016-01-01,20401575,605018
Georgia,2016-01-01,10179860,305040
Hawaii,2016-01-01,1410258,57229
Idaho,2016-01-01,1663756,71556
Illinois,2016-01-01,12654142,203713
Indiana,2016-01-01,6554084,145782
Iowa,2016-01-01,3097283,78263
Kansas,2016-01-01,2870529,88830
Kentucky,2016-01-01,4385213,113238
Louisiana,2016-01-01,4622042,85371
Maine,2016-01-01,1319292,38590
Maryland,2016-01-01,5949566,158647
Massachusetts,2016-01-01,6745441,149408
Michigan,2016-01-01,9813772,155874
Minnesota,2016-01-01,5455904,111307
Mississippi,2016-01-01,2951081,64639
Missouri,2016-01-01,6022165,162809
Montana,2016-01-01,1032794,37775
Nebraska,2016-01-01,1882987,51448
Nevada,2016-01-01,2907243,117899
New Hampshire,2016-01-01,1322101,52457
New Jersey,2016-01-01,8852286,144359
New Mexico,2016-01-01,2057857,64802
New York,2016-01-01,19526443,260723
North Carolina,2016-01-01,10032407,330896
North Dakota,2016-01-01,746271,29655
Ohio,2016-01-01,11481752,195396
Oklahoma,2016-01-01,3873232,102000
Oregon,2016-01-01,4052221,139334
Pennsylvania,2016-01-01,12645493,252060
Rhode Island,2016-01-01,1045691,32800
South Carolina,2016-01-01,4903788,165230
South Dakota,2016-01-01,853832,31789
Tennessee,2016-01-01,6580953,170867
Texas,2016-01-01,27472626,531996
Utah,2016-01-01,3002244,107083
Vermont,2016-01-01,619387,21262
Virginia,2016-01-01,8312297,264164
Washington,2016-01-01,7202119,257728
West Virginia,2016-01-01,1810709,47196
Wisconsin,2016-01-01,5712104,118814
Wyoming,2016-01-01,577567,26471
Puerto Rico,2016-01-01,3384760,21196
Alabama,2017-01-01,4819343,111803
Alaska,2017-01-01,730874,30199
Arizona,2017-01-01,6935358,261727
Arkansas,2017-01-01,2968395,79411
California,2017-01-01,39085984,523131
Colorado,2017-01-01,5542282,226933
Connecticut,2017-01-01,3556297,83325
Delaware,2017-01-01,952449,38532
District of Columbia ,2017-01-01,684810,56231
Florida,2017-01-01,20772371,566476
Georgia,2017-01-01,10299497,278889
Hawaii,2017-01-01,1410750,46457
Idaho,2017-01-01,1694182,71899
Illinois,2017-01-01,12659328,195092
Indiana,2017-01-01,6591598,142290
Iowa,2017-01-01,3106880,77072
Kansas,2017-01-01,2876925,86154
Kentucky,2017-01-01,4404279,103985
Louisiana,2017-01-01,4629962,72836
Maine,2017-01-01,1322591,34252
Maryland,2017-01-01,5988007,165654
Massachusetts,2017-01-01,6789798,146299
Michigan,2017-01-01,9851330,148787
Minnesota,2017-01-01,5510902,115623
Mississippi,2017-01-01,2946971,73549
Missouri,2017-01-01,6039877,164957
Montana,2017-01-01,1039170,35456
Nebraska,2017-01-01,1894217,52507
Nevada,2017-01-01,2963456,133074
New Hampshire,2017-01-01,1330742,52893
New Jersey,2017-01-01,8910191,152106
New Mexico,2017-01-01,2062628,57255
New York,2017-01-01,19638923,285252
North Carolina,2017-01-01,10158556,313834
North Dakota,2017-01-01,744641,37315
Ohio,2017-01-01,11520109,198929
Oklahoma,2017-01-01,3875922,101961
Oregon,2017-01-01,4102048,149513
Pennsylvania,2017-01-01,12674642,250120
Rhode Island,2017-01-01,1048549,36850
South Carolina,2017-01-01,4966211,166573
South Dakota,2017-01-01,856726,26106
Tennessee,2017-01-01,6642072,191909
Texas,2017-01-01,27924632,524511
Utah,2017-01-01,3056193,99584
Vermont,2017-01-01,619089,21868
Virginia,2017-01-01,8372522,250490
Washington,2017-01-01,7318811,260787
West Virginia,2017-01-01,1798306,40007
Wisconsin,2017-01-01,5731549,112519
Wyoming,2017-01-01,573483,18511
Puerto Rico,2017-01-01,3313519,20167
Alabama,2018-01-01,4832358,109301
Alaska,2018-01-01,727164,32099
Arizona,2018-01-01,7090137,273714
Arkansas,2018-01-01,2975961,73179
California,2018-01-01,39114889,501023
Colorado,2018-01-01,5633029,239153
Connecticut,2018-01-01,3538203,84718
Delaware,2018-01-01,958770,34451
District of Columbia ,2018-01-01,693798,47555
Florida,2018-01-01,21092877,587261
Georgia,2018-01-01,10410462,274273
Hawaii,2018-01-01,1403653,54074
Idaho,2018-01-01,1734756,79765
Illinois,2018-01-01,12599244,206620
Indiana,2018-01-01,6612948,145256
Iowa,2018-01-01,3119306,74199
Kansas,2018-01-01,2874208,95748
Kentucky,2018-01-01,4414714,110456
Louisiana,2018-01-01,4603081,81355
Maine,2018-01-01,1324095,34706
Maryland,2018-01-01,5974521,163216
Massachusetts,2018-01-01,6834364,144042
Michigan,2018-01-01,9891083,139276
Minnesota,2018-01-01,5543490,100270
Mississippi,2018-01-01,2955717,68000
Missouri,2018-01-01,6053109,152326
Montana,2018-01-01,1051757,43375
Nebraska,2018-01-01,1905843,54579
Nevada,2018-01-01,3003761,127362
New Hampshire,2018-01-01,1344750,48367
New Jersey,2018-01-01,8815804,159846
New Mexico,2018-01-01,2072546,60068
New York,2018-01-01,19329704,254447
North Carolina,2018-01-01,10274540,318681
North Dakota,2018-01-01,749825,33735
Ohio,2018-01-01,11555163,198026
Oklahoma,2018-01-01,3895983,106943
Oregon,2018-01-01,4152756,140627
Pennsylvania,2018-01-01,12674699,253520
Rhode Island,2018-01-01,1047975,32841
South Carolina,2018-01-01,5029034,186505
South Dakota,2018-01-01,871271,26775
Tennessee,2018-01-01,6692936,209377
Texas,2018-01-01,28333482,563945
Utah,2018-01-01,3114717,100824
Vermont,2018-01-01,621681,26306
Virginia,2018-01-01,8424340,274003
Washington,2018-01-01,7453439,260906
West Virginia,2018-01-01,1787630,43841
Wisconsin,2018-01-01,5751525,114613
Wyoming,2018-01-01,570867,25734
Puerto Rico,2018-01-01,3173956,20900
Alabama,2019-01-01,4849509,104780
Alaska,2019-01-01,722063,34031
Arizona,2019-01-01,7200620,253295
Arkansas,2019-01-01,2989054,59723
California,2019-01-01,39084048,480204
Colorado,2019-01-01,5701658,240600
Connecticut,2019-01-01,3531986,90044
Delaware,2019-01-01,964817,38014
District of Columbia ,2019-01-01,697556,58879
Florida,2019-01-01,21269409,601611
Georgia,2019-01-01,10499808,284541
Hawaii,2019-01-01,1396819,49708
Idaho,2019-01-01,1764327,78730
Illinois,2019-01-01,12536539,190627
Indiana,2019-01-01,6656971,151443
Iowa,2019-01-01,3121385,72651
Kansas,2019-01-01,2879518,94648
Kentucky,2019-01-01,4421512,100057
Louisiana,2019-01-01,4595111,67640
Maine,2019-01-01,1331656,36129
Maryland,2019-01-01,5979602,141766
Massachusetts,2019-01-01,6828110,144079
Michigan,2019-01-01,9880758,132008
Minnesota,2019-01-01,5575235,106920
Mississippi,2019-01-01,2943737,61683
Missouri,2019-01-01,6069697,152345
Montana,2019-01-01,1056994,40862
Nebraska,2019-01-01,1910711,46064
Nevada,2019-01-01,3048602,132950
New Hampshire,2019-01-01,1350155,50288
New Jersey,2019-01-01,8791672,149260
New Mexico,2019-01-01,2073628,55545
New York,2019-01-01,19240920,254806
North Carolina,2019-01-01,10371906,315215
North Dakota,2019-01-01,750501,36668
Ohio,2019-01-01,11556037,205542
Oklahoma,2019-01-01,3907258,101844
Oregon,2019-01-01,4178578,129921
Pennsylvania,2019-01-01,12670245,267465
Rhode Island,2019-01-01,1050602,34984
South Carolina,2019-01-01,5092727,176008
South Dakota,2019-01-01,872708,26934
Tennessee,2019-01-01,6754461,196765
Texas,2019-01-01,28642658,559661
Utah,2019-01-01,3162102,95608
Vermont,2019-01-01,617560,21212
Virginia,2019-01-01,8439982,264855
Washington,2019-01-01,7527366,231956
West Virginia,2019-01-01,1773280,39548
Wisconsin,2019-01-01,5760481,107973
Wyoming,2019-01-01,572884,30247
Puerto Rico,2019-01-01,3175835,31144
Alabama,2010-01-01,4729509,108723
Alaska,2010-01-01,702974,36326
Arizona,2010-01-01,6332786,222725
Arkansas,2010-01-01,2888304,79127
California,2010-01-01,36907897,444749
Colorado,2010-01-01,4988190,186366
Connecticut,2010-01-01,3541146,77333
Delaware,2010-01-01,889812,30759
District of Columbia ,2010-01-01,596747,51244
Florida,2010-01-01,18647600,482889
Georgia,2010-01-01,9587237,249459
Hawaii,2010-01-01,1346274,53581
Idaho,2010-01-01,1550967,55638
Illinois,2010-01-01,12680126,203959
Indiana,2010-01-01,6414862,127353
Iowa,2010-01-01,3013053,72557
Kansas,2010-01-01,2820894,95059
Kentucky,2010-01-01,4296639,118443
Louisiana,2010-01-01,4483529,97889
Maine,2010-01-01,1313902,27758
Maryland,2010-01-01,5716785,164484
Massachusetts,2010-01-01,6489250,140162
Michigan,2010-01-01,9762127,116149
Minnesota,2010-01-01,5244256,89872
Mississippi,2010-01-01,2931228,72321
Missouri,2010-01-01,5920858,145226
Montana,2010-01-01,978507,35630
Nebraska,2010-01-01,1802697,51290
